,age,gender,year,visits,population
924,37,2,2013,57198,35415
932,38,1,2006,97915,34749
933,38,1,2007,101983,35591
934,38,1,2008,103946,36134
935,38,1,2009,104622,35331
936,38,1,2010,105782,36031
937,38,1,2011,108426,35835
938,38,1,2012,106691,34680
939,38,1,2013,105540,35081
940,38,2,2006,58406,35899
941,38,2,2007,60980,37064
942,38,2,2008,61445,37647
943,38,2,2009,61296,37031
944,38,2,2010,62841,37626
945,38,2,2011,64657,37687
946,38,2,2012,63361,37030
947,38,2,2013,60317,36874
954,39,1,2006,93303,34471
955,39,1,2007,98619,34882
956,39,1,2008,103620,35790
957,39,1,2009,103057,36381
958,39,1,2010,106505,35583
959,39,1,2011,109724,36260
960,39,1,2012,106642,36102
961,39,1,2013,105478,35012
962,39,2,2006,58935,36361
963,39,2,2007,60420,36111
964,39,2,2008,63718,37534
965,39,2,2009,63318,38069
966,39,2,2010,63488,37379
967,39,2,2011,67204,37917
968,39,2,2012,66129,38221
969,39,2,2013,63940,37495
976,40,1,2006,92870,34092
977,40,1,2007,95610,34540
978,40,1,2008,99618,35027
979,40,1,2009,103215,36030
980,40,1,2010,104750,36579
981,40,1,2011,109727,35798
982,40,1,2012,108541,36475
983,40,1,2013,105290,36359
984,40,2,2006,60730,35849
985,40,2,2007,61209,36568
986,40,2,2008,63863,36597
987,40,2,2009,66667,37965
988,40,2,2010,66771,38314
989,40,2,2011,68496,37649
990,40,2,2012,67780,38341
991,40,2,2013,65819,38622
999,41,1,2006,90021,33674
1000,41,1,2007,94270,34166
1001,41,1,2008,97539,34678
1002,41,1,2009,100029,35236
1003,41,1,2010,104297,36241
1004,41,1,2011,108710,36776
1005,41,1,2012,109041,36047
1006,41,1,2013,107778,36651
1007,41,2,2006,60411,35425
1008,41,2,2007,61985,36054
1009,41,2,2008,63987,36973
1010,41,2,2009,66471,37005
1011,41,2,2010,68262,38176
1012,41,2,2011,71463,38575
1013,41,2,2012,68357,38053
1014,41,2,2013,67674,38699
1023,42,1,2006,87308,32793
1024,42,1,2007,91366,33750
1025,42,1,2008,95116,34276
1026,42,1,2009,97539,34845
1027,42,1,2010,101183,35431
1028,42,1,2011,108585,36430
1029,42,1,2012,107555,36982
1030,42,1,2013,108577,36244
1031,42,2,2006,57899,33745
1032,42,2,2007,60737,35598
1033,42,2,2008,64943,36470
1034,42,2,2009,66265,37345
1035,42,2,2010,67966,37225
1036,42,2,2011,72426,38410
1037,42,2,2012,71509,38952
1038,42,2,2013,67828,38375
1046,43,1,2006,86999,31869
1047,43,1,2007,90018,32822
1048,43,1,2008,93671,33837
1049,43,1,2009,96241,34411
1050,43,1,2010,99986,35020
1051,43,1,2011,106227,35565
1052,43,1,2012,108651,36618
1053,43,1,2013,107736,37118
1054,43,2,2006,57462,33338
1055,43,2,2007,59207,33909
1056,43,2,2008,64264,35937
1057,43,2,2009,67402,36794
1058,43,2,2010,68136,37515
1059,43,2,2011,71802,37439
1060,43,2,2012,72556,38727
1061,43,2,2013,70756,39233
1070,44,1,2006,84056,31571
1071,44,1,2007,88310,31880
1072,44,1,2008,92331,32930
1073,44,1,2009,95082,33964
1074,44,1,2010,99271,34568
1075,44,1,2011,104527,35158
1076,44,1,2012,106405,35736
1077,44,1,2013,108960,36778
1078,44,2,2006,56992,32914
1079,44,2,2007,58796,33512
1080,44,2,2008,62246,34261
1081,44,2,2009,66852,36237
1082,44,2,2010,69583,36950
1083,44,2,2011,71950,37683
1084,44,2,2012,73502,37719
1085,44,2,2013,72635,38973
1092,45,1,2006,82801,31350
1093,45,1,2007,86705,31604
1094,45,1,2008,90265,31939
1095,45,1,2009,92303,33078
1096,45,1,2010,98618,34104
1097,45,1,2011,104007,34692
1098,45,1,2012,104365,35256
1099,45,1,2013,107105,35861
1100,45,2,2006,56597,32598
1101,45,2,2007,58621,33022
1102,45,2,2008,61801,33816
1103,45,2,2009,64747,34539
1104,45,2,2010,69053,36402
1105,45,2,2011,74092,37085
1106,45,2,2012,73583,37910
1107,45,2,2013,72976,37895
1114,46,1,2006,85033,31477
1115,46,1,2007,86109,31356
1116,46,1,2008,88327,31661
1117,46,1,2009,92183,32070
1118,46,1,2010,96227,33148
1119,46,1,2011,103703,34216
1120,46,1,2012,104065,34851
1121,46,1,2013,105059,35356
1122,46,2,2006,57882,32877
1123,46,2,2007,57799,32712
1124,46,2,2008,61247,33286
1125,46,2,2009,64280,34050
1126,46,2,2010,67727,34671
1127,46,2,2011,73886,36579
1128,46,2,2012,73832,37315
1129,46,2,2013,72746,38068
1137,47,1,2006,85690,31433
1138,47,1,2007,86965,31451
1139,47,1,2008,89247,31388
1140,47,1,2009,91034,31761
1141,47,1,2010,94879,32169
1142,47,1,2011,101096,33268
1143,47,1,2012,103659,34317
1144,47,1,2013,104914,34941
1145,47,2,2006,58182,32431
1146,47,2,2007,60053,32951
1147,47,2,2008,61467,32973
1148,47,2,2009,64400,33479
1149,47,2,2010,67873,34141
1150,47,2,2011,71559,34755
1151,47,2,2012,74270,36743
1152,47,2,2013,75204,37445
1160,48,1,2006,86192,31094
1161,48,1,2007,88345,31452
1162,48,1,2008,89813,31491
1163,48,1,2009,89692,31438
1164,48,1,2010,93639,31831
1165,48,1,2011,100073,32233
1166,48,1,2012,101316,33320
1167,48,1,2013,104216,34394
1168,48,2,2006,58491,31919
1169,48,2,2007,60771,32507
1170,48,2,2008,64593,33147
1171,48,2,2009,64183,33160
1172,48,2,2010,67990,33547
1173,48,2,2011,71888,34254
1174,48,2,2012,72822,34942
1175,48,2,2013,75095,36838
1183,49,1,2006,87638,31541
1184,49,1,2007,88754,31045
1185,49,1,2008,90946,31449
1186,49,1,2009,90844,31553
1187,49,1,2010,92848,31490
1188,49,1,2011,98747,31849
1189,49,1,2012,100677,32322
1190,49,1,2013,102715,33378
1191,49,2,2006,59087,32188
1192,49,2,2007,61257,31969
1193,49,2,2008,64041,32644
1194,49,2,2009,66264,33301
1195,49,2,2010,67612,33173
1196,49,2,2011,71614,33560
1197,49,2,2012,71663,34381
1198,49,2,2013,73659,35042
